CONTAINER ID,NAME,CPU %,MEM USAGE / LIMIT,MEM %,NET I/O,BLOCK I/O,PIDS
83d0496cd3f3,nms-front-app,0.00%,27.83MiB/31.09GiB,0.09%,29.2kB/10.6kB,12.3MB/4.1kB,25
1d8edff61cb4,nms-db-sql,137.68%,763.6MiB/31.09GiB,2.40%,42.7MB/43.7MB,298MB/423MB,54
a89bf687d13c,r_agent,0.57%,139.7MiB/31.09GiB,0.44%,0B/0B,58MB/0B,49
ef3f5b7d89cf,oai-udr,0.20%,16.21MiB/31.09GiB,0.05%,114kB/50.3kB,0B/0B,7
5202830792c1,oai-ausf,0.16%,15.34MiB/31.09GiB,0.05%,31.3kB/20.1kB,0B/0B,7
b6700381562a,oai-amf,0.00%,19MiB/31.09GiB,0.06%,75.9kB/88.9kB,0B/0B,11
578fdb9b6717,oai-smf,0.06%,17.7MiB/31.09GiB,0.06%,39.2kB/39kB,0B/0B,13
164ab8e58687,oai-spgwu-tiny,0.03%,18.38MiB/31.09GiB,0.06%,254kB/240kB,0B/0B,15
7218321e4e90,oai-udm,0.13%,15.62MiB/31.09GiB,0.05%,43.6kB/33.3kB,0B/0B,7
125fb38de96f,cn-agent,0.01%,38.87MiB/31.09GiB,0.12%,1.38MB/662kB,0B/0B,1
ae395bc92632,oai-nrf,0.22%,15.58MiB/31.09GiB,0.05%,52kB/23kB,0B/0B,7
e915d098e124,mysql,0.15%,403.4MiB/31.09GiB,1.27%,483kB/1.21MB,201kB/283MB,40
b2bc12d8ebed,oai-ext-dn,0.00%,11.01MiB/31.09GiB,0.03%,12.2kB/0B,0B/0B,3
4359e12d5d64,nms-api-app,1.26%,47.36MiB/31.09GiB,0.15%,0B/0B,37.3MB/0B,4
83d0496cd3f3,nms-front-app,0.00%,27.84MiB/31.09GiB,0.09%,29.4kB/10.7kB,12.3MB/4.1kB,25
1d8edff61cb4,nms-db-sql,138.64%,763.7MiB/31.09GiB,2.40%,42.8MB/43.9MB,298MB/424MB,54
a89bf687d13c,r_agent,0.30%,139.4MiB/31.09GiB,0.44%,0B/0B,58MB/0B,49
ef3f5b7d89cf,oai-udr,0.14%,16.27MiB/31.09GiB,0.05%,114kB/50.3kB,0B/0B,7
5202830792c1,oai-ausf,0.16%,15.61MiB/31.09GiB,0.05%,31.3kB/20.1kB,0B/0B,7
b6700381562a,oai-amf,0.00%,19.14MiB/31.09GiB,0.06%,77.1kB/92.2kB,0B/0B,11
578fdb9b6717,oai-smf,0.00%,17.79MiB/31.09GiB,0.06%,39.3kB/39.1kB,0B/0B,13
164ab8e58687,oai-spgwu-tiny,0.00%,18.43MiB/31.09GiB,0.06%,254kB/240kB,0B/0B,15
7218321e4e90,oai-udm,0.12%,15.85MiB/31.09GiB,0.05%,43.6kB/33.3kB,0B/0B,7
125fb38de96f,cn-agent,0.39%,38.87MiB/31.09GiB,0.12%,1.43MB/687kB,0B/0B,1
ae395bc92632,oai-nrf,0.21%,15.71MiB/31.09GiB,0.05%,52kB/23kB,0B/0B,7
e915d098e124,mysql,0.45%,403.5MiB/31.09GiB,1.27%,501kB/1.26MB,201kB/283MB,40
b2bc12d8ebed,oai-ext-dn,0.00%,11.16MiB/31.09GiB,0.04%,12.2kB/0B,0B/0B,3
4359e12d5d64,nms-api-app,1.52%,47.3MiB/31.09GiB,0.15%,0B/0B,37.3MB/0B,3
83d0496cd3f3,nms-front-app,0.00%,27.84MiB/31.09GiB,0.09%,29.6kB/10.8kB,12.3MB/4.1kB,25
1d8edff61cb4,nms-db-sql,142.61%,763.6MiB/31.09GiB,2.40%,43MB/44.1MB,298MB/426MB,54
a89bf687d13c,r_agent,0.56%,139.6MiB/31.09GiB,0.44%,0B/0B,58MB/0B,49
ef3f5b7d89cf,oai-udr,0.16%,16.41MiB/31.09GiB,0.05%,114kB/50.3kB,0B/0B,7
5202830792c1,oai-ausf,0.17%,15.77MiB/31.09GiB,0.05%,31.5kB/20.1kB,0B/0B,7
b6700381562a,oai-amf,0.00%,19.31MiB/31.09GiB,0.06%,78kB/93.9kB,0B/0B,11
578fdb9b6717,oai-smf,0.00%,17.96MiB/31.09GiB,0.06%,39.7kB/40.1kB,0B/0B,13
164ab8e58687,oai-spgwu-tiny,0.00%,18.62MiB/31.09GiB,0.06%,255kB/240kB,0B/0B,15
7218321e4e90,oai-udm,0.15%,15.9MiB/31.09GiB,0.05%,43.7kB/33.3kB,0B/0B,7
125fb38de96f,cn-agent,0.01%,38.88MiB/31.09GiB,0.12%,1.46MB/702kB,0B/0B,1
ae395bc92632,oai-nrf,0.19%,15.96MiB/31.09GiB,0.05%,53.8kB/23.7kB,0B/0B,7
e915d098e124,mysql,0.12%,403.5MiB/31.09GiB,1.27%,512kB/1.29MB,201kB/283MB,40
b2bc12d8ebed,oai-ext-dn,0.00%,11.22MiB/31.09GiB,0.04%,12.4kB/0B,0B/0B,3
4359e12d5d64,nms-api-app,1.15%,46.95MiB/31.09GiB,0.15%,0B/0B,37.3MB/0B,1
83d0496cd3f3,nms-front-app,0.00%,27.84MiB/31.09GiB,0.09%,29.6kB/10.8kB,12.3MB/4.1kB,25
1d8edff61cb4,nms-db-sql,142.30%,763.6MiB/31.09GiB,2.40%,43.2MB/44.2MB,298MB/427MB,54
a89bf687d13c,r_agent,0.32%,139.4MiB/31.09GiB,0.44%,0B/0B,58MB/0B,49
ef3f5b7d89cf,oai-udr,2.56%,16.46MiB/31.09GiB,0.05%,115kB/50.3kB,0B/0B,7
5202830792c1,oai-ausf,0.15%,15.87MiB/31.09GiB,0.05%,31.9kB/20.1kB,0B/0B,7
b6700381562a,oai-amf,0.00%,19.41MiB/31.09GiB,0.06%,79.6kB/97.2kB,0B/0B,11
578fdb9b6717,oai-smf,0.00%,17.82MiB/31.09GiB,0.06%,40.7kB/41.1kB,0B/0B,13
164ab8e58687,oai-spgwu-tiny,0.00%,18.8MiB/31.09GiB,0.06%,256kB/241kB,0B/0B,15
7218321e4e90,oai-udm,0.20%,15.98MiB/31.09GiB,0.05%,44.2kB/33.3kB,0B/0B,7
125fb38de96f,cn-agent,0.41%,38.89MiB/31.09GiB,0.12%,1.51MB/728kB,0B/0B,1
ae395bc92632,oai-nrf,0.21%,16.08MiB/31.09GiB,0.05%,55.8kB/24.4kB,0B/0B,7
e915d098e124,mysql,0.29%,403.6MiB/31.09GiB,1.27%,530kB/1.33MB,201kB/283MB,40
b2bc12d8ebed,oai-ext-dn,0.00%,11.32MiB/31.09GiB,0.04%,12.8kB/0B,0B/0B,3
4359e12d5d64,nms-api-app,1.49%,46.99MiB/31.09GiB,0.15%,0B/0B,37.3MB/0B,4
83d0496cd3f3,nms-front-app,0.00%,27.84MiB/31.09GiB,0.09%,29.6kB/10.8kB,12.3MB/4.1kB,25
1d8edff61cb4,nms-db-sql,142.40%,763.6MiB/31.09GiB,2.40%,43.4MB/44.4MB,298MB/429MB,54
a89bf687d13c,r_agent,0.63%,139.4MiB/31.09GiB,0.44%,0B/0B,58MB/0B,49
ef3f5b7d89cf,oai-udr,0.23%,16.46MiB/31.09GiB,0.05%,115kB/50.3kB,0B/0B,7
5202830792c1,oai-ausf,0.21%,15.87MiB/31.09GiB,0.05%,31.9kB/20.1kB,0B/0B,7
b6700381562a,oai-amf,0.00%,19.41MiB/31.09GiB,0.06%,80.3kB/98.9kB,0B/0B,11
578fdb9b6717,oai-smf,0.07%,17.82MiB/31.09GiB,0.06%,41.2kB/42.1kB,0B/0B,13
164ab8e58687,oai-spgwu-tiny,0.04%,18.8MiB/31.09GiB,0.06%,256kB/242kB,0B/0B,15
7218321e4e90,oai-udm,0.22%,15.98MiB/31.09GiB,0.05%,44.2kB/33.3kB,0B/0B,7
125fb38de96f,cn-agent,0.01%,38.89MiB/31.09GiB,0.12%,1.54MB/742kB,0B/0B,1
ae395bc92632,oai-nrf,0.26%,16.08MiB/31.09GiB,0.05%,57.3kB/25.2kB,0B/0B,7
e915d098e124,mysql,0.18%,403.6MiB/31.09GiB,1.27%,541kB/1.36MB,201kB/283MB,40
b2bc12d8ebed,oai-ext-dn,0.00%,11.32MiB/31.09GiB,0.04%,12.8kB/0B,0B/0B,3
4359e12d5d64,nms-api-app,1.03%,46.78MiB/31.09GiB,0.15%,0B/0B,37.3MB/0B,1
83d0496cd3f3,nms-front-app,0.00%,27.84MiB/31.09GiB,0.09%,29.6kB/10.8kB,12.3MB/4.1kB,25
1d8edff61cb4,nms-db-sql,157.43%,763.6MiB/31.09GiB,2.40%,43.6MB/44.6MB,298MB/430MB,54
a89bf687d13c,r_agent,0.48%,139.5MiB/31.09GiB,0.44%,0B/0B,58MB/0B,49
ef3f5b7d89cf,oai-udr,0.15%,16.65MiB/31.09GiB,0.05%,115kB/50.3kB,0B/0B,7
5202830792c1,oai-ausf,0.14%,16.05MiB/31.09GiB,0.05%,31.9kB/20.1kB,0B/0B,7
b6700381562a,oai-amf,0.00%,19.49MiB/31.09GiB,0.06%,81.5kB/102kB,0B/0B,11
578fdb9b6717,oai-smf,0.00%,17.89MiB/31.09GiB,0.06%,41.3kB/42.1kB,0B/0B,13
164ab8e58687,oai-spgwu-tiny,0.00%,18.86MiB/31.09GiB,0.06%,256kB/242kB,0B/0B,15
7218321e4e90,oai-udm,0.17%,16.19MiB/31.09GiB,0.05%,44.2kB/33.3kB,0B/0B,7
125fb38de96f,cn-agent,0.27%,39.01MiB/31.09GiB,0.12%,1.6MB/767kB,0B/0B,1
ae395bc92632,oai-nrf,0.16%,16.14MiB/31.09GiB,0.05%,57.3kB/25.2kB,0B/0B,7
e915d098e124,mysql,0.23%,403.8MiB/31.09GiB,1.27%,559kB/1.41MB,201kB/283MB,40
b2bc12d8ebed,oai-ext-dn,0.00%,11.54MiB/31.09GiB,0.04%,12.8kB/0B,0B/0B,3
4359e12d5d64,nms-api-app,1.56%,47.08MiB/31.09GiB,0.15%,0B/0B,37.3MB/0B,4
83d0496cd3f3,nms-front-app,0.00%,27.84MiB/31.09GiB,0.09%,29.6kB/10.8kB,12.3MB/4.1kB,25
1d8edff61cb4,nms-db-sql,125.85%,763.6MiB/31.09GiB,2.40%,43.8MB/44.8MB,298MB/432MB,54
a89bf687d13c,r_agent,0.52%,139.6MiB/31.09GiB,0.44%,0B/0B,58MB/0B,49
ef3f5b7d89cf,oai-udr,0.16%,16.71MiB/31.09GiB,0.05%,115kB/50.3kB,0B/0B,7
5202830792c1,oai-ausf,0.12%,16.16MiB/31.09GiB,0.05%,31.9kB/20.1kB,0B/0B,7
b6700381562a,oai-amf,0.00%,19.48MiB/31.09GiB,0.06%,82.1kB/104kB,0B/0B,11
578fdb9b6717,oai-smf,0.01%,17.96MiB/31.09GiB,0.06%,41.7kB/43.1kB,0B/0B,13
164ab8e58687,oai-spgwu-tiny,0.00%,18.96MiB/31.09GiB,0.06%,257kB/242kB,0B/0B,15
7218321e4e90,oai-udm,0.14%,16.24MiB/31.09GiB,0.05%,44.2kB/33.3kB,0B/0B,7
125fb38de96f,cn-agent,0.00%,38.9MiB/31.09GiB,0.12%,1.63MB/782kB,0B/0B,1
ae395bc92632,oai-nrf,0.17%,16.2MiB/31.09GiB,0.05%,58.9kB/25.9kB,0B/0B,7
e915d098e124,mysql,0.16%,403.9MiB/31.09GiB,1.27%,570kB/1.43MB,201kB/283MB,40
b2bc12d8ebed,oai-ext-dn,0.00%,11.61MiB/31.09GiB,0.04%,12.9kB/0B,0B/0B,3
4359e12d5d64,nms-api-app,0.99%,46.64MiB/31.09GiB,0.15%,0B/0B,37.3MB/0B,1
83d0496cd3f3,nms-front-app,0.00%,27.84MiB/31.09GiB,0.09%,29.6kB/10.8kB,12.3MB/4.1kB,25
1d8edff61cb4,nms-db-sql,131.85%,763.6MiB/31.09GiB,2.40%,44MB/45MB,298MB/433MB,54
a89bf687d13c,r_agent,0.75%,139.5MiB/31.09GiB,0.44%,0B/0B,58MB/0B,49
ef3f5b7d89cf,oai-udr,1.91%,16.75MiB/31.09GiB,0.05%,115kB/50.3kB,0B/0B,7
5202830792c1,oai-ausf,0.18%,16.28MiB/31.09GiB,0.05%,31.9kB/20.1kB,0B/0B,7
b6700381562a,oai-amf,0.00%,19.62MiB/31.09GiB,0.06%,83.4kB/107kB,0B/0B,11
578fdb9b6717,oai-smf,0.00%,18.02MiB/31.09GiB,0.06%,42.1kB/44.1kB,0B/0B,13
164ab8e58687,oai-spgwu-tiny,0.00%,19.18MiB/31.09GiB,0.06%,257kB/243kB,0B/0B,15
7218321e4e90,oai-udm,0.20%,16.36MiB/31.09GiB,0.05%,44.2kB/33.3kB,0B/0B,7
125fb38de96f,cn-agent,0.40%,38.99MiB/31.09GiB,0.12%,1.68MB/808kB,0B/0B,1
ae395bc92632,oai-nrf,0.18%,16.32MiB/31.09GiB,0.05%,60.5kB/26.6kB,0B/0B,7
e915d098e124,mysql,0.39%,403.9MiB/31.09GiB,1.27%,588kB/1.48MB,201kB/283MB,40
b2bc12d8ebed,oai-ext-dn,0.00%,11.67MiB/31.09GiB,0.04%,12.9kB/0B,0B/0B,3
4359e12d5d64,nms-api-app,1.69%,47.34MiB/31.09GiB,0.15%,0B/0B,37.3MB/0B,4
83d0496cd3f3,nms-front-app,0.00%,27.85MiB/31.09GiB,0.09%,29.7kB/10.9kB,12.3MB/4.1kB,25
1d8edff61cb4,nms-db-sql,141.92%,763.7MiB/31.09GiB,2.40%,44.2MB/45.2MB,298MB/435MB,54
a89bf687d13c,r_agent,0.49%,139.7MiB/31.09GiB,0.44%,0B/0B,58MB/0B,49
ef3f5b7d89cf,oai-udr,0.18%,16.88MiB/31.09GiB,0.05%,115kB/50.5kB,0B/0B,7
5202830792c1,oai-ausf,0.14%,16.28MiB/31.09GiB,0.05%,31.9kB/20.1kB,0B/0B,7
b6700381562a,oai-amf,0.01%,19.62MiB/31.09GiB,0.06%,84kB/109kB,0B/0B,11
578fdb9b6717,oai-smf,0.05%,18.02MiB/31.09GiB,0.06%,42.6kB/45.1kB,0B/0B,13
164ab8e58687,oai-spgwu-tiny,0.04%,19.18MiB/31.09GiB,0.06%,258kB/244kB,0B/0B,15
7218321e4e90,oai-udm,0.14%,16.36MiB/31.09GiB,0.05%,44.2kB/33.3kB,0B/0B,7
125fb38de96f,cn-agent,0.01%,38.99MiB/31.09GiB,0.12%,1.71MB/822kB,0B/0B,1
ae395bc92632,oai-nrf,0.25%,16.32MiB/31.09GiB,0.05%,62.1kB/27.4kB,0B/0B,7
e915d098e124,mysql,0.14%,403.9MiB/31.09GiB,1.27%,599kB/1.51MB,201kB/283MB,40
b2bc12d8ebed,oai-ext-dn,0.00%,11.67MiB/31.09GiB,0.04%,12.9kB/0B,0B/0B,3
4359e12d5d64,nms-api-app,1.27%,47.04MiB/31.09GiB,0.15%,0B/0B,37.3MB/0B,1
83d0496cd3f3,nms-front-app,0.00%,27.85MiB/31.09GiB,0.09%,30kB/11kB,12.3MB/4.1kB,25
1d8edff61cb4,nms-db-sql,139.34%,763.7MiB/31.09GiB,2.40%,44.4MB/45.4MB,298MB/436MB,54
a89bf687d13c,r_agent,0.53%,139.7MiB/31.09GiB,0.44%,0B/0B,58MB/0B,49
ef3f5b7d89cf,oai-udr,0.21%,16.94MiB/31.09GiB,0.05%,115kB/50.6kB,0B/0B,7
5202830792c1,oai-ausf,0.19%,16.36MiB/31.09GiB,0.05%,31.9kB/20.1kB,0B/0B,7
b6700381562a,oai-amf,0.00%,19.71MiB/31.09GiB,0.06%,85.2kB/112kB,0B/0B,11
578fdb9b6717,oai-smf,0.00%,18.13MiB/31.09GiB,0.06%,42.6kB/45.1kB,0B/0B,13
164ab8e58687,oai-spgwu-tiny,0.00%,19.38MiB/31.09GiB,0.06%,258kB/244kB,0B/0B,15
7218321e4e90,oai-udm,0.14%,16.5MiB/31.09GiB,0.05%,44.2kB/33.3kB,0B/0B,7
125fb38de96f,cn-agent,0.28%,39MiB/31.09GiB,0.12%,1.76MB/847kB,0B/0B,1
ae395bc92632,oai-nrf,0.21%,16.33MiB/31.09GiB,0.05%,62.1kB/27.4kB,0B/0B,7
e915d098e124,mysql,0.41%,404MiB/31.09GiB,1.27%,617kB/1.55MB,201kB/283MB,40
b2bc12d8ebed,oai-ext-dn,0.00%,11.67MiB/31.09GiB,0.04%,12.9kB/0B,0B/0B,3
4359e12d5d64,nms-api-app,1.75%,46.84MiB/31.09GiB,0.15%,0B/0B,37.3MB/0B,4
83d0496cd3f3,nms-front-app,0.00%,27.85MiB/31.09GiB,0.09%,30kB/11kB,12.3MB/4.1kB,25
1d8edff61cb4,nms-db-sql,142.28%,763.6MiB/31.09GiB,2.40%,44.6MB/45.6MB,298MB/438MB,54
a89bf687d13c,r_agent,0.71%,139.6MiB/31.09GiB,0.44%,0B/0B,58MB/0B,49
ef3f5b7d89cf,oai-udr,0.16%,17.04MiB/31.09GiB,0.05%,115kB/50.6kB,0B/0B,7
5202830792c1,oai-ausf,0.16%,16.37MiB/31.09GiB,0.05%,31.9kB/20.1kB,0B/0B,7
b6700381562a,oai-amf,0.00%,19.84MiB/31.09GiB,0.06%,85.9kB/114kB,0B/0B,11
578fdb9b6717,oai-smf,0.01%,18.14MiB/31.09GiB,0.06%,43kB/46.2kB,0B/0B,13
164ab8e58687,oai-spgwu-tiny,0.00%,19.42MiB/31.09GiB,0.06%,258kB/245kB,0B/0B,15
7218321e4e90,oai-udm,0.18%,16.66MiB/31.09GiB,0.05%,44.2kB/33.3kB,0B/0B,7
125fb38de96f,cn-agent,0.01%,39.03MiB/31.09GiB,0.12%,1.79MB/862kB,0B/0B,1
ae395bc92632,oai-nrf,0.18%,16.37MiB/31.09GiB,0.05%,63.6kB/28.1kB,0B/0B,7
e915d098e124,mysql,0.12%,404MiB/31.09GiB,1.27%,627kB/1.58MB,201kB/283MB,40
b2bc12d8ebed,oai-ext-dn,0.00%,11.83MiB/31.09GiB,0.04%,12.9kB/0B,0B/0B,3
4359e12d5d64,nms-api-app,1.26%,47.09MiB/31.09GiB,0.15%,0B/0B,37.3MB/0B,1
83d0496cd3f3,nms-front-app,0.00%,27.85MiB/31.09GiB,0.09%,30kB/11kB,12.3MB/4.1kB,25
1d8edff61cb4,nms-db-sql,131.88%,763.6MiB/31.09GiB,2.40%,44.7MB/45.8MB,298MB/440MB,54
a89bf687d13c,r_agent,0.52%,139.6MiB/31.09GiB,0.44%,0B/0B,58MB/0B,49
ef3f5b7d89cf,oai-udr,0.17%,17.2MiB/31.09GiB,0.05%,115kB/50.6kB,0B/0B,7
5202830792c1,oai-ausf,0.18%,16.5MiB/31.09GiB,0.05%,31.9kB/20.1kB,0B/0B,7
b6700381562a,oai-amf,0.00%,19.91MiB/31.09GiB,0.06%,87.1kB/117kB,0B/0B,11
578fdb9b6717,oai-smf,0.00%,18.17MiB/31.09GiB,0.06%,43.5kB/47.2kB,0B/0B,13
164ab8e58687,oai-spgwu-tiny,0.00%,19.31MiB/31.09GiB,0.06%,259kB/245kB,0B/0B,15
7218321e4e90,oai-udm,0.14%,16.73MiB/31.09GiB,0.05%,44.2kB/33.3kB,0B/0B,7
125fb38de96f,cn-agent,0.41%,39.13MiB/31.09GiB,0.12%,1.85MB/888kB,0B/0B,1
ae395bc92632,oai-nrf,0.20%,16.46MiB/31.09GiB,0.05%,65.2kB/28.9kB,0B/0B,7
e915d098e124,mysql,0.34%,404MiB/31.09GiB,1.27%,645kB/1.62MB,201kB/283MB,40
b2bc12d8ebed,oai-ext-dn,0.00%,11.95MiB/31.09GiB,0.04%,12.9kB/0B,0B/0B,3
4359e12d5d64,nms-api-app,1.52%,47.11MiB/31.09GiB,0.15%,0B/0B,37.3MB/0B,4
83d0496cd3f3,nms-front-app,0.00%,27.85MiB/31.09GiB,0.09%,30kB/11kB,12.3MB/4.1kB,25
1d8edff61cb4,nms-db-sql,140.77%,763.6MiB/31.09GiB,2.40%,45MB/46MB,298MB/441MB,54
a89bf687d13c,r_agent,0.39%,139.5MiB/31.09GiB,0.44%,0B/0B,58MB/0B,49
ef3f5b7d89cf,oai-udr,0.13%,17.14MiB/31.09GiB,0.05%,115kB/50.6kB,0B/0B,7
5202830792c1,oai-ausf,0.12%,16.5MiB/31.09GiB,0.05%,31.9kB/20.1kB,0B/0B,7
b6700381562a,oai-amf,0.00%,19.91MiB/31.09GiB,0.06%,87.7kB/119kB,0B/0B,11
578fdb9b6717,oai-smf,0.05%,18.17MiB/31.09GiB,0.06%,43.9kB/48.2kB,0B/0B,13
164ab8e58687,oai-spgwu-tiny,0.03%,19.31MiB/31.09GiB,0.06%,259kB/246kB,0B/0B,15
7218321e4e90,oai-udm,0.16%,16.73MiB/31.09GiB,0.05%,44.2kB/33.3kB,0B/0B,7
125fb38de96f,cn-agent,0.01%,39.25MiB/31.09GiB,0.12%,1.88MB/902kB,0B/0B,1
ae395bc92632,oai-nrf,0.25%,16.46MiB/31.09GiB,0.05%,66.8kB/29.6kB,0B/0B,7
e915d098e124,mysql,0.16%,404MiB/31.09GiB,1.27%,656kB/1.65MB,201kB/283MB,40
b2bc12d8ebed,oai-ext-dn,0.00%,11.95MiB/31.09GiB,0.04%,12.9kB/0B,0B/0B,3
4359e12d5d64,nms-api-app,1.14%,47.08MiB/31.09GiB,0.15%,0B/0B,37.3MB/0B,3
83d0496cd3f3,nms-front-app,0.00%,27.85MiB/31.09GiB,0.09%,30kB/11kB,12.3MB/4.1kB,25
1d8edff61cb4,nms-db-sql,133.10%,763.6MiB/31.09GiB,2.40%,45.1MB/46.1MB,298MB/443MB,54
